iter	RMSE
0	22430.59289
1	21448.76121
2	20515.2829
3	19628.21974
4	18789.6703
5	17994.65265
6	17244.70759
7	16536.58943
8	15863.89196
9	15238.46188
10	14637.40165
11	14074.54213
12	13541.3525
13	13042.28256
14	12569.33384
15	12123.63332
16	11709.41629
17	11314.71463
18	10948.44415
19	10596.5237
20	10273.28796
21	9963.725263
22	9679.799569
23	9412.525043
24	9159.368561
25	8927.247544
26	8709.151021
27	8502.410995
28	8312.056745
29	8134.328626
30	7973.520041
31	7820.249435
32	7672.550322
33	7538.025488
34	7413.391823
35	7292.323487
36	7183.425553
37	7082.347826
38	6990.059601
39	6900.882197
40	6818.441244
41	6742.606906
42	6675.255921
43	6608.47005
44	6549.581918
45	6492.785075
46	6437.668285
47	6390.120546
48	6343.902425
49	6304.407893
50	6262.893858
51	6228.468585
52	6196.315991
53	6166.868409
54	6136.6592
55	6107.567956
56	6083.1558
57	6059.590201
58	6038.44321
59	6018.305532
60	5998.637478
61	5980.20058
62	5962.234086
63	5945.691842
64	5931.113355
65	5917.486426
66	5904.184658
67	5889.272388
68	5877.768184
69	5867.062949
70	5856.66119
71	5846.39623
72	5835.979776
73	5818.313812
74	5809.587986
75	5797.748079
76	5790.885193
77	5781.499093
78	5773.805758
79	5766.634858
80	5759.56661
81	5752.671732
82	5743.566032
83	5732.67791
84	5722.140032
85	5715.626265
86	5710.302584
87	5705.73573
88	5695.575442
89	5690.477591
90	5685.560925
91	5678.299108
92	5673.736971
93	5669.278001
94	5661.351736
95	5657.678426
96	5654.121499
97	5650.982025
98	5647.816278
99	5639.926175
100	5635.01558
101	5631.599255
102	5627.04425
103	5622.980145
104	5619.711019
105	5616.809434
106	5613.68408
107	5609.944183
108	5605.384813
109	5602.495868
110	5597.980382
111	5595.289568
112	5592.173568
113	5588.946966
114	5585.470222
115	5580.79586
116	5577.068776
117	5571.467943
118	5562.302399
119	5555.818079
120	5552.950115
121	5549.997053
122	5547.294714
123	5544.791152
124	5542.950896
125	5541.014584
126	5535.708621
127	5530.706945
128	5526.685074
129	5524.497456
130	5521.825666
131	5518.788246
132	5515.76517
133	5512.081497
134	5505.910278
135	5504.101449
136	5502.837184
137	5499.799444
138	5497.264661
139	5494.645249
140	5488.84256
141	5479.099235
142	5476.389045
143	5474.544713
144	5472.064432
145	5470.975414
146	5462.980444
147	5459.339037
148	5454.425486
149	5452.591333
150	5449.976922
151	5445.57298
152	5439.546302
153	5438.108992
154	5435.558532
155	5433.765039
156	5431.680183
157	5428.639617
158	5425.485354
159	5423.408108
160	5421.976588
161	5419.327989
162	5416.036513
163	5414.260908
164	5412.413718
165	5407.429843
166	5405.995283
167	5402.699861
168	5400.364728
169	5398.460361
170	5395.091645
171	5392.83097
172	5390.371611
173	5388.710415
174	5387.587546
175	5384.083128
176	5381.558353
177	5378.363215
178	5376.962083
179	5373.834148
180	5373.082911
181	5371.759819
182	5370.220743
183	5368.480929
184	5366.933515
185	5365.672609
186	5363.338572
187	5361.111523
188	5357.982198
189	5356.32176
190	5354.959565
191	5352.968165
192	5351.262354
193	5350.080727
194	5348.585526
195	5345.500962
196	5344.212086
197	5341.472163
198	5337.653124
199	5334.463496
200	5332.648475
201	5331.066246
202	5327.456675
203	5324.519532
204	5321.459539
