iter	Passed	Remaining
0	188	94174
1	229	57044
2	273	45372
3	314	38957
4	358	35526
5	406	33462
6	456	32164
7	499	30712
8	540	29492
9	581	28476
10	620	27601
11	660	26842
12	698	26171
13	735	25521
14	771	24943
15	809	24490
16	854	24273
17	907	24291
18	964	24428
19	1019	24465
20	1064	24283
21	1107	24059
22	1150	23853
23	1190	23614
24	1231	23389
25	1276	23276
26	1319	23110
27	1358	22899
28	1406	22842
29	1453	22770
30	1487	22505
31	1522	22269
32	1560	22080
33	1597	21898
34	1636	21735
35	1678	21628
36	1720	21530
37	1763	21445
38	1805	21345
39	1845	21220
40	1883	21086
41	1920	20945
42	1958	20814
43	1995	20678
44	2032	20550
45	2072	20454
46	2148	20711
47	2196	20688
48	2236	20586
49	2270	20435
50	2307	20319
51	2346	20219
52	2388	20146
53	2431	20083
54	2468	19973
55	2508	19890
56	2542	19758
57	2582	19683
58	2628	19643
59	2666	19551
60	2701	19438
61	2737	19336
62	2772	19230
63	2806	19120
64	2839	19001
65	2878	18931
66	2920	18877
67	2957	18787
68	3000	18744
69	3042	18687
70	3079	18609
71	3115	18520
72	3152	18437
73	3197	18409
74	3238	18354
75	3287	18338
76	3322	18251
77	3366	18213
78	3410	18172
79	3449	18109
80	3496	18084
81	3536	18026
82	3573	17953
83	3612	17891
84	3649	17818
85	3690	17764
86	3730	17709
87	3769	17648
88	3810	17594
89	3838	17488
90	3875	17417
91	3913	17353
92	3950	17286
93	3987	17224
94	4032	17191
95	4072	17138
96	4117	17106
97	4158	17057
98	4197	17003
99	4238	16953
100	4274	16887
101	4309	16816
102	4344	16746
103	4381	16685
104	4415	16610
105	4454	16557
106	4497	16518
107	4540	16480
108	4581	16433
109	4624	16397
110	4664	16347
111	4704	16297
112	4744	16248
113	4778	16180
114	4811	16109
115	4847	16046
116	4890	16008
117	4922	15936
118	4962	15888
119	4997	15825
120	5042	15793
121	5082	15747
122	5121	15698
123	5160	15648
124	5196	15590
125	5237	15546
126	5271	15483
127	5310	15434
128	5348	15381
129	5387	15332
130	5431	15298
131	5473	15258
132	5514	15217
133	5571	15219
134	5618	15190
135	5659	15146
136	5696	15094
137	5735	15044
138	5785	15024
139	5849	15042
140	5893	15004
141	5932	14956
142	5971	14906
143	6012	14863
144	6049	14811
145	6088	14762
146	6127	14714
147	6163	14659
148	6200	14607
149	6238	14557
150	6284	14525
151	6321	14471
152	6358	14420
153	6395	14369
154	6439	14333
155	6489	14311
156	6530	14267
157	6572	14225
158	6619	14196
159	6664	14162
160	6709	14126
161	6751	14086
162	6789	14036
163	6835	14003
164	6872	13952
165	6917	13919
166	6968	13894
167	7005	13844
168	7049	13807
169	7096	13775
170	7134	13727
171	7176	13684
172	7214	13636
173	7257	13598
174	7302	13562
175	7346	13524
176	7391	13489
177	7431	13444
178	7474	13403
179	7510	13352
180	7551	13309
181	7592	13265
182	7634	13224
183	7678	13187
184	7722	13149
185	7766	13110
186	7807	13067
187	7857	13040
188	7899	12997
189	7943	12959
190	7995	12935
191	8045	12906
192	8094	12875
193	8133	12828
194	8182	12797
195	8220	12749
196	8263	12709
197	8300	12660
198	8334	12607
199	8377	12566
200	8416	12520
201	8469	12495
202	8520	12466
203	8575	12443
204	8620	12405
205	8667	12370
206	8718	12340
207	8756	12292
208	8792	12241
209	8827	12190
210	8866	12144
211	8910	12104
212	8953	12064
213	9009	12040
214	9046	11991
215	9094	11957
216	9138	11918
217	9181	11877
218	9228	11841
219	9272	11801
220	9310	11753
221	9352	11711
222	9393	11667
223	9440	11632
224	9492	11601
225	9534	11559
226	9576	11517
227	9622	11479
228	9684	11460
229	9721	11412
230	9758	11364
231	9809	11332
232	9852	11289
233	9890	11243
234	9984	11258
235	10021	11210
236	10063	11167
237	10103	11121
238	10158	11093
239	10212	11063
240	10255	11020
241	10295	10976
242	10334	10929
243	10371	10881
244	10408	10833
245	10455	10795
246	10499	10754
247	10531	10701
248	10568	10653
249	10607	10607
250	10657	10572
251	10708	10538
252	10749	10494
253	10786	10447
254	10825	10401
255	10873	10363
256	10914	10320
257	10948	10269
258	10994	10229
259	11033	10184
260	11076	10142
261	11115	10097
262	11158	10055
263	11194	10007
264	11233	9961
265	11272	9916
266	11310	9870
267	11347	9823
268	11380	9773
269	11432	9738
270	11480	9701
271	11525	9660
272	11568	9619
273	11601	9569
274	11640	9523
275	11675	9475
276	11714	9430
277	11749	9383
278	11797	9344
279	11845	9307
280	11892	9268
281	11931	9223
282	11969	9178
283	12008	9133
284	12043	9085
285	12083	9041
286	12120	8995
287	12157	8948
288	12192	8901
289	12233	8858
290	12280	8820
291	12325	8779
292	12372	8741
293	12427	8707
294	12468	8664
295	12504	8618
296	12541	8571
297	12580	8527
298	12632	8492
299	12678	8452
300	12715	8406
301	12757	8364
302	12790	8316
303	12828	8270
304	12861	8222
305	12895	8175
306	12936	8132
307	12988	8096
308	13053	8068
309	13106	8033
310	13167	8001
311	13229	7971
312	13285	7937
313	13343	7904
314	13406	7873
315	13465	7840
316	13523	7806
317	13584	7774
318	13641	7739
319	13697	7704
320	13750	7667
321	13797	7627
322	13871	7601
323	13937	7571
324	14006	7541
325	14079	7514
326	14131	7476
327	14188	7440
328	14240	7401
329	14299	7366
330	14350	7326
331	14404	7288
332	14456	7250
333	14511	7212
334	14583	7183
335	14638	7144
336	14699	7110
337	14780	7084
338	14860	7057
339	14910	7016
340	14965	6978
341	15020	6939
342	15087	6905
343	15147	6869
344	15203	6830
345	15260	6792
346	15311	6751
347	15366	6711
348	15434	6678
349	15492	6639
350	15542	6597
351	15591	6555
352	15657	6520
353	15716	6481
354	15785	6447
355	15836	6405
356	15897	6368
357	16029	6358
358	16098	6322
359	16165	6286
360	16232	6250
361	16301	6214
362	16375	6180
363	16453	6147
364	16514	6108
365	16578	6069
366	16648	6033
367	16699	5990
368	16750	5946
369	16810	5906
370	16868	5865
371	16923	5823
372	16995	5786
373	17065	5749
374	17135	5711
375	17197	5671
376	17261	5631
377	17341	5596
378	17402	5555
379	17460	5513
380	17522	5473
381	17589	5433
382	17650	5391
383	17706	5348
384	17762	5305
385	17814	5261
386	17875	5219
387	18010	5198
388	18091	5162
389	18171	5125
390	18275	5094
391	18351	5055
392	18413	5013
393	18457	4965
394	18536	4927
395	18604	4885
396	18660	4841
397	18747	4804
398	18806	4760
399	18862	4715
400	18926	4672
401	18976	4626
402	19033	4581
403	19122	4543
404	19202	4504
405	19273	4462
406	19359	4423
407	19449	4385
408	19535	4346
409	19619	4306
410	19679	4261
411	19735	4215
412	19782	4167
413	19843	4122
414	19954	4087
415	20048	4048
416	20129	4006
417	20199	3962
418	20297	3923
419	20380	3881
420	20442	3836
421	20517	3792
422	20585	3747
423	20659	3703
424	20727	3657
425	20792	3611
426	20835	3562
427	20886	3513
428	20949	3467
429	21031	3423
430	21109	3379
431	21178	3333
432	21258	3289
433	21330	3243
434	21390	3196
435	21439	3147
436	21501	3099
437	21559	3051
438	21634	3006
439	21712	2960
440	21813	2918
441	21890	2872
442	21989	2829
443	22073	2783
444	22142	2736
445	22213	2689
446	22289	2642
447	22340	2593
448	22400	2544
449	22476	2497
450	22543	2449
451	22604	2400
452	22659	2351
453	22736	2303
454	22785	2253
455	22836	2203
456	22906	2155
457	22954	2104
458	23003	2054
459	23055	2004
460	23122	1956
461	23202	1908
462	23275	1860
463	23338	1810
464	23399	1761
465	23455	1711
466	23504	1660
467	23556	1610
468	23607	1560
469	23670	1510
470	23727	1460
471	23785	1410
472	23838	1360
473	23887	1310
474	23955	1260
475	24029	1211
476	24101	1162
477	24192	1113
478	24273	1064
479	24340	1014
480	24394	963
481	24437	912
482	24486	861
483	24545	811
484	24607	761
485	24676	710
486	24738	660
487	24794	609
488	24874	559
489	24940	508
490	24986	457
491	25027	406
492	25112	356
493	25170	305
494	25238	254
495	25302	204
496	25364	153
497	25413	102
498	25488	51
499	25543	0
